"Step","hl128-64_bs64_lr0.001_optadam - val_accuracy","hl128-64_bs64_lr0.001_optadam - val_accuracy__MIN","hl128-64_bs64_lr0.001_optadam - val_accuracy__MAX"
"0","0.7567777777777778","0.6363333333333333","0.8221666666666667"
"1","0.7747222222222222","0.6661666666666667","0.8328333333333333"
"2","0.7721666666666667","0.6763333333333333","0.825"
"3","0.7700555555555555","0.6738333333333333","0.8276666666666667"
"4","0.7709999999999999","0.6853333333333333","0.823"
"5","0.7701111111111111","0.6576666666666666","0.8276666666666667"
"6","0.7729444444444443","0.6471666666666667","0.8366666666666667"
"7","0.7789444444444444","0.6855","0.827"
"8","0.7763888888888889","0.6701666666666667","0.8316666666666667"
"9","0.7758333333333334","0.6683333333333333","0.8378333333333333"
"10","0.7711666666666668","0.6643333333333333","0.8263333333333334"
"11","0.782111111111111","0.6873333333333334","0.834"
"12","0.7824444444444444","0.6793333333333333","0.8365"
"13","0.7775555555555554","0.6626666666666666","0.8351666666666666"
"14","0.7819444444444444","0.675","0.8378333333333333"
"15","0.789","0.6978333333333333","0.8363333333333334"
"16","0.787888888888889","0.6971666666666667","0.8403333333333334"
"17","0.7712777777777777","0.6543333333333333","0.8301666666666667"
"18","0.7733333333333333","0.6576666666666666","0.8358333333333333"
"19","0.776611111111111","0.6741666666666667","0.8291666666666667"
