"Actual","Predicted","_defaultColorIndex","id","nPredictions","name"
"0","0","2","8vveyg01","801","hl128-64_bs64_lr0.001_optadam"
"0","1","2","8vveyg01","3","hl128-64_bs64_lr0.001_optadam"
"0","2","2","8vveyg01","6","hl128-64_bs64_lr0.001_optadam"
"0","3","2","8vveyg01","124","hl128-64_bs64_lr0.001_optadam"
"0","4","2","8vveyg01","1","hl128-64_bs64_lr0.001_optadam"
"0","5","2","8vveyg01","4","hl128-64_bs64_lr0.001_optadam"
"0","6","2","8vveyg01","44","hl128-64_bs64_lr0.001_optadam"
"0","7","2","8vveyg01","0","hl128-64_bs64_lr0.001_optadam"
"0","8","2","8vveyg01","17","hl128-64_bs64_lr0.001_optadam"
"0","9","2","8vveyg01","0","hl128-64_bs64_lr0.001_optadam"
"1","0","2","8vveyg01","5","hl128-64_bs64_lr0.001_optadam"
"1","1","2","8vveyg01","894","hl128-64_bs64_lr0.001_optadam"
"1","2","2","8vveyg01","14","hl128-64_bs64_lr0.001_optadam"
"1","3","2","8vveyg01","74","hl128-64_bs64_lr0.001_optadam"
"1","4","2","8vveyg01","9","hl128-64_bs64_lr0.001_optadam"
"1","5","2","8vveyg01","0","hl128-64_bs64_lr0.001_optadam"
"1","6","2","8vveyg01","2","hl128-64_bs64_lr0.001_optadam"
"1","7","2","8vveyg01","0","hl128-64_bs64_lr0.001_optadam"
"1","8","2","8vveyg01","2","hl128-64_bs64_lr0.001_optadam"
"1","9","2","8vveyg01","0","hl128-64_bs64_lr0.001_optadam"
"2","0","2","8vveyg01","24","hl128-64_bs64_lr0.001_optadam"
"2","1","2","8vveyg01","4","hl128-64_bs64_lr0.001_optadam"
"2","2","2","8vveyg01","680","hl128-64_bs64_lr0.001_optadam"
"2","3","2","8vveyg01","17","hl128-64_bs64_lr0.001_optadam"
"2","4","2","8vveyg01","59","hl128-64_bs64_lr0.001_optadam"
"2","5","2","8vveyg01","1","hl128-64_bs64_lr0.001_optadam"
"2","6","2","8vveyg01","198","hl128-64_bs64_lr0.001_optadam"
"2","7","2","8vveyg01","0","hl128-64_bs64_lr0.001_optadam"
"2","8","2","8vveyg01","17","hl128-64_bs64_lr0.001_optadam"
"2","9","2","8vveyg01","0","hl128-64_bs64_lr0.001_optadam"
"3","0","2","8vveyg01","127","hl128-64_bs64_lr0.001_optadam"
"3","1","2","8vveyg01","45","hl128-64_bs64_lr0.001_optadam"
"3","2","2","8vveyg01","7","hl128-64_bs64_lr0.001_optadam"
"3","3","2","8vveyg01","766","hl128-64_bs64_lr0.001_optadam"
"3","4","2","8vveyg01","1","hl128-64_bs64_lr0.001_optadam"
"3","5","2","8vveyg01","2","hl128-64_bs64_lr0.001_optadam"
"3","6","2","8vveyg01","50","hl128-64_bs64_lr0.001_optadam"
"3","7","2","8vveyg01","0","hl128-64_bs64_lr0.001_optadam"
"3","8","2","8vveyg01","2","hl128-64_bs64_lr0.001_optadam"
"3","9","2","8vveyg01","0","hl128-64_bs64_lr0.001_optadam"
"4","0","2","8vveyg01","8","hl128-64_bs64_lr0.001_optadam"
"4","1","2","8vveyg01","18","hl128-64_bs64_lr0.001_optadam"
"4","2","2","8vveyg01","720","hl128-64_bs64_lr0.001_optadam"
"4","3","2","8vveyg01","73","hl128-64_bs64_lr0.001_optadam"
"4","4","2","8vveyg01","71","hl128-64_bs64_lr0.001_optadam"
"4","5","2","8vveyg01","0","hl128-64_bs64_lr0.001_optadam"
"4","6","2","8vveyg01","103","hl128-64_bs64_lr0.001_optadam"
"4","7","2","8vveyg01","0","hl128-64_bs64_lr0.001_optadam"
"4","8","2","8vveyg01","7","hl128-64_bs64_lr0.001_optadam"
"4","9","2","8vveyg01","0","hl128-64_bs64_lr0.001_optadam"
"5","0","2","8vveyg01","0","hl128-64_bs64_lr0.001_optadam"
"5","1","2","8vveyg01","4","hl128-64_bs64_lr0.001_optadam"
"5","2","2","8vveyg01","0","hl128-64_bs64_lr0.001_optadam"
"5","3","2","8vveyg01","1","hl128-64_bs64_lr0.001_optadam"
"5","4","2","8vveyg01","0","hl128-64_bs64_lr0.001_optadam"
"5","5","2","8vveyg01","592","hl128-64_bs64_lr0.001_optadam"
"5","6","2","8vveyg01","0","hl128-64_bs64_lr0.001_optadam"
"5","7","2","8vveyg01","215","hl128-64_bs64_lr0.001_optadam"
"5","8","2","8vveyg01","20","hl128-64_bs64_lr0.001_optadam"
"5","9","2","8vveyg01","168","hl128-64_bs64_lr0.001_optadam"
"6","0","2","8vveyg01","270","hl128-64_bs64_lr0.001_optadam"
"6","1","2","8vveyg01","6","hl128-64_bs64_lr0.001_optadam"
"6","2","2","8vveyg01","376","hl128-64_bs64_lr0.001_optadam"
"6","3","2","8vveyg01","67","hl128-64_bs64_lr0.001_optadam"
"6","4","2","8vveyg01","13","hl128-64_bs64_lr0.001_optadam"
"6","5","2","8vveyg01","1","hl128-64_bs64_lr0.001_optadam"
"6","6","2","8vveyg01","223","hl128-64_bs64_lr0.001_optadam"
"6","7","2","8vveyg01","0","hl128-64_bs64_lr0.001_optadam"
"6","8","2","8vveyg01","44","hl128-64_bs64_lr0.001_optadam"
"6","9","2","8vveyg01","0","hl128-64_bs64_lr0.001_optadam"
"7","0","2","8vveyg01","0","hl128-64_bs64_lr0.001_optadam"
"7","1","2","8vveyg01","0","hl128-64_bs64_lr0.001_optadam"
"7","2","2","8vveyg01","0","hl128-64_bs64_lr0.001_optadam"
"7","3","2","8vveyg01","0","hl128-64_bs64_lr0.001_optadam"
"7","4","2","8vveyg01","0","hl128-64_bs64_lr0.001_optadam"
"7","5","2","8vveyg01","29","hl128-64_bs64_lr0.001_optadam"
"7","6","2","8vveyg01","0","hl128-64_bs64_lr0.001_optadam"
"7","7","2","8vveyg01","849","hl128-64_bs64_lr0.001_optadam"
"7","8","2","8vveyg01","0","hl128-64_bs64_lr0.001_optadam"
"7","9","2","8vveyg01","122","hl128-64_bs64_lr0.001_optadam"
"8","0","2","8vveyg01","19","hl128-64_bs64_lr0.001_optadam"
"8","1","2","8vveyg01","1","hl128-64_bs64_lr0.001_optadam"
"8","2","2","8vveyg01","29","hl128-64_bs64_lr0.001_optadam"
"8","3","2","8vveyg01","6","hl128-64_bs64_lr0.001_optadam"
"8","4","2","8vveyg01","0","hl128-64_bs64_lr0.001_optadam"
"8","5","2","8vveyg01","29","hl128-64_bs64_lr0.001_optadam"
"8","6","2","8vveyg01","16","hl128-64_bs64_lr0.001_optadam"
"8","7","2","8vveyg01","3","hl128-64_bs64_lr0.001_optadam"
"8","8","2","8vveyg01","895","hl128-64_bs64_lr0.001_optadam"
"8","9","2","8vveyg01","2","hl128-64_bs64_lr0.001_optadam"
"9","0","2","8vveyg01","0","hl128-64_bs64_lr0.001_optadam"
"9","1","2","8vveyg01","8","hl128-64_bs64_lr0.001_optadam"
"9","2","2","8vveyg01","1","hl128-64_bs64_lr0.001_optadam"
"9","3","2","8vveyg01","0","hl128-64_bs64_lr0.001_optadam"
"9","4","2","8vveyg01","1","hl128-64_bs64_lr0.001_optadam"
"9","5","2","8vveyg01","9","hl128-64_bs64_lr0.001_optadam"
"9","6","2","8vveyg01","0","hl128-64_bs64_lr0.001_optadam"
"9","7","2","8vveyg01","37","hl128-64_bs64_lr0.001_optadam"
"9","8","2","8vveyg01","1","hl128-64_bs64_lr0.001_optadam"
"9","9","2","8vveyg01","943","hl128-64_bs64_lr0.001_optadam"
"0","0","1","cjrb5lol","828","hl128-64_bs64_lr0.001_optadam"
"0","1","1","cjrb5lol","5","hl128-64_bs64_lr0.001_optadam"
"0","2","1","cjrb5lol","41","hl128-64_bs64_lr0.001_optadam"
"0","3","1","cjrb5lol","35","hl128-64_bs64_lr0.001_optadam"
"0","4","1","cjrb5lol","4","hl128-64_bs64_lr0.001_optadam"
"0","5","1","cjrb5lol","4","hl128-64_bs64_lr0.001_optadam"
"0","6","1","cjrb5lol","70","hl128-64_bs64_lr0.001_optadam"
"0","7","1","cjrb5lol","0","hl128-64_bs64_lr0.001_optadam"
"0","8","1","cjrb5lol","13","hl128-64_bs64_lr0.001_optadam"
"0","9","1","cjrb5lol","0","hl128-64_bs64_lr0.001_optadam"
"1","0","1","cjrb5lol","8","hl128-64_bs64_lr0.001_optadam"
"1","1","1","cjrb5lol","936","hl128-64_bs64_lr0.001_optadam"
"1","2","1","cjrb5lol","19","hl128-64_bs64_lr0.001_optadam"
"1","3","1","cjrb5lol","31","hl128-64_bs64_lr0.001_optadam"
"1","4","1","cjrb5lol","4","hl128-64_bs64_lr0.001_optadam"
"1","5","1","cjrb5lol","0","hl128-64_bs64_lr0.001_optadam"
"1","6","1","cjrb5lol","1","hl128-64_bs64_lr0.001_optadam"
"1","7","1","cjrb5lol","0","hl128-64_bs64_lr0.001_optadam"
"1","8","1","cjrb5lol","1","hl128-64_bs64_lr0.001_optadam"
"1","9","1","cjrb5lol","0","hl128-64_bs64_lr0.001_optadam"
"2","0","1","cjrb5lol","18","hl128-64_bs64_lr0.001_optadam"
"2","1","1","cjrb5lol","0","hl128-64_bs64_lr0.001_optadam"
"2","2","1","cjrb5lol","873","hl128-64_bs64_lr0.001_optadam"
"2","3","1","cjrb5lol","9","hl128-64_bs64_lr0.001_optadam"
"2","4","1","cjrb5lol","72","hl128-64_bs64_lr0.001_optadam"
"2","5","1","cjrb5lol","0","hl128-64_bs64_lr0.001_optadam"
"2","6","1","cjrb5lol","25","hl128-64_bs64_lr0.001_optadam"
"2","7","1","cjrb5lol","0","hl128-64_bs64_lr0.001_optadam"
"2","8","1","cjrb5lol","3","hl128-64_bs64_lr0.001_optadam"
"2","9","1","cjrb5lol","0","hl128-64_bs64_lr0.001_optadam"
"3","0","1","cjrb5lol","46","hl128-64_bs64_lr0.001_optadam"
"3","1","1","cjrb5lol","14","hl128-64_bs64_lr0.001_optadam"
"3","2","1","cjrb5lol","35","hl128-64_bs64_lr0.001_optadam"
"3","3","1","cjrb5lol","828","hl128-64_bs64_lr0.001_optadam"
"3","4","1","cjrb5lol","29","hl128-64_bs64_lr0.001_optadam"
"3","5","1","cjrb5lol","1","hl128-64_bs64_lr0.001_optadam"
"3","6","1","cjrb5lol","42","hl128-64_bs64_lr0.001_optadam"
"3","7","1","cjrb5lol","0","hl128-64_bs64_lr0.001_optadam"
"3","8","1","cjrb5lol","5","hl128-64_bs64_lr0.001_optadam"
"3","9","1","cjrb5lol","0","hl128-64_bs64_lr0.001_optadam"
"4","0","1","cjrb5lol","0","hl128-64_bs64_lr0.001_optadam"
"4","1","1","cjrb5lol","2","hl128-64_bs64_lr0.001_optadam"
"4","2","1","cjrb5lol","302","hl128-64_bs64_lr0.001_optadam"
"4","3","1","cjrb5lol","28","hl128-64_bs64_lr0.001_optadam"
"4","4","1","cjrb5lol","585","hl128-64_bs64_lr0.001_optadam"
"4","5","1","cjrb5lol","0","hl128-64_bs64_lr0.001_optadam"
"4","6","1","cjrb5lol","78","hl128-64_bs64_lr0.001_optadam"
"4","7","1","cjrb5lol","0","hl128-64_bs64_lr0.001_optadam"
"4","8","1","cjrb5lol","5","hl128-64_bs64_lr0.001_optadam"
"4","9","1","cjrb5lol","0","hl128-64_bs64_lr0.001_optadam"
"5","0","1","cjrb5lol","1","hl128-64_bs64_lr0.001_optadam"
"5","1","1","cjrb5lol","0","hl128-64_bs64_lr0.001_optadam"
"5","2","1","cjrb5lol","0","hl128-64_bs64_lr0.001_optadam"
"5","3","1","cjrb5lol","2","hl128-64_bs64_lr0.001_optadam"
"5","4","1","cjrb5lol","0","hl128-64_bs64_lr0.001_optadam"
"5","5","1","cjrb5lol","891","hl128-64_bs64_lr0.001_optadam"
"5","6","1","cjrb5lol","0","hl128-64_bs64_lr0.001_optadam"
"5","7","1","cjrb5lol","49","hl128-64_bs64_lr0.001_optadam"
"5","8","1","cjrb5lol","7","hl128-64_bs64_lr0.001_optadam"
"5","9","1","cjrb5lol","50","hl128-64_bs64_lr0.001_optadam"
"6","0","1","cjrb5lol","205","hl128-64_bs64_lr0.001_optadam"
"6","1","1","cjrb5lol","4","hl128-64_bs64_lr0.001_optadam"
"6","2","1","cjrb5lol","230","hl128-64_bs64_lr0.001_optadam"
"6","3","1","cjrb5lol","25","hl128-64_bs64_lr0.001_optadam"
"6","4","1","cjrb5lol","68","hl128-64_bs64_lr0.001_optadam"
"6","5","1","cjrb5lol","1","hl128-64_bs64_lr0.001_optadam"
"6","6","1","cjrb5lol","442","hl128-64_bs64_lr0.001_optadam"
"6","7","1","cjrb5lol","0","hl128-64_bs64_lr0.001_optadam"
"6","8","1","cjrb5lol","25","hl128-64_bs64_lr0.001_optadam"
"6","9","1","cjrb5lol","0","hl128-64_bs64_lr0.001_optadam"
"7","0","1","cjrb5lol","0","hl128-64_bs64_lr0.001_optadam"
"7","1","1","cjrb5lol","0","hl128-64_bs64_lr0.001_optadam"
"7","2","1","cjrb5lol","0","hl128-64_bs64_lr0.001_optadam"
"7","3","1","cjrb5lol","0","hl128-64_bs64_lr0.001_optadam"
"7","4","1","cjrb5lol","0","hl128-64_bs64_lr0.001_optadam"
"7","5","1","cjrb5lol","54","hl128-64_bs64_lr0.001_optadam"
"7","6","1","cjrb5lol","0","hl128-64_bs64_lr0.001_optadam"
"7","7","1","cjrb5lol","851","hl128-64_bs64_lr0.001_optadam"
"7","8","1","cjrb5lol","0","hl128-64_bs64_lr0.001_optadam"
"7","9","1","cjrb5lol","95","hl128-64_bs64_lr0.001_optadam"
"8","0","1","cjrb5lol","3","hl128-64_bs64_lr0.001_optadam"
"8","1","1","cjrb5lol","1","hl128-64_bs64_lr0.001_optadam"
"8","2","1","cjrb5lol","32","hl128-64_bs64_lr0.001_optadam"
"8","3","1","cjrb5lol","11","hl128-64_bs64_lr0.001_optadam"
"8","4","1","cjrb5lol","2","hl128-64_bs64_lr0.001_optadam"
"8","5","1","cjrb5lol","12","hl128-64_bs64_lr0.001_optadam"
"8","6","1","cjrb5lol","17","hl128-64_bs64_lr0.001_optadam"
"8","7","1","cjrb5lol","4","hl128-64_bs64_lr0.001_optadam"
"8","8","1","cjrb5lol","917","hl128-64_bs64_lr0.001_optadam"
"8","9","1","cjrb5lol","1","hl128-64_bs64_lr0.001_optadam"
"9","0","1","cjrb5lol","1","hl128-64_bs64_lr0.001_optadam"
"9","1","1","cjrb5lol","0","hl128-64_bs64_lr0.001_optadam"
"9","2","1","cjrb5lol","0","hl128-64_bs64_lr0.001_optadam"
"9","3","1","cjrb5lol","1","hl128-64_bs64_lr0.001_optadam"
"9","4","1","cjrb5lol","0","hl128-64_bs64_lr0.001_optadam"
"9","5","1","cjrb5lol","15","hl128-64_bs64_lr0.001_optadam"
"9","6","1","cjrb5lol","0","hl128-64_bs64_lr0.001_optadam"
"9","7","1","cjrb5lol","28","hl128-64_bs64_lr0.001_optadam"
"9","8","1","cjrb5lol","1","hl128-64_bs64_lr0.001_optadam"
"9","9","1","cjrb5lol","954","hl128-64_bs64_lr0.001_optadam"
"0","0","0","cfldfaix","876","hl128-64_bs64_lr0.001_optadam"
"0","1","0","cfldfaix","7","hl128-64_bs64_lr0.001_optadam"
"0","2","0","cfldfaix","20","hl128-64_bs64_lr0.001_optadam"
"0","3","0","cfldfaix","43","hl128-64_bs64_lr0.001_optadam"
"0","4","0","cfldfaix","6","hl128-64_bs64_lr0.001_optadam"
"0","5","0","cfldfaix","6","hl128-64_bs64_lr0.001_optadam"
"0","6","0","cfldfaix","29","hl128-64_bs64_lr0.001_optadam"
"0","7","0","cfldfaix","0","hl128-64_bs64_lr0.001_optadam"
"0","8","0","cfldfaix","12","hl128-64_bs64_lr0.001_optadam"
"0","9","0","cfldfaix","1","hl128-64_bs64_lr0.001_optadam"
"1","0","0","cfldfaix","6","hl128-64_bs64_lr0.001_optadam"
"1","1","0","cfldfaix","952","hl128-64_bs64_lr0.001_optadam"
"1","2","0","cfldfaix","10","hl128-64_bs64_lr0.001_optadam"
"1","3","0","cfldfaix","26","hl128-64_bs64_lr0.001_optadam"
"1","4","0","cfldfaix","5","hl128-64_bs64_lr0.001_optadam"
"1","5","0","cfldfaix","0","hl128-64_bs64_lr0.001_optadam"
"1","6","0","cfldfaix","0","hl128-64_bs64_lr0.001_optadam"
"1","7","0","cfldfaix","0","hl128-64_bs64_lr0.001_optadam"
"1","8","0","cfldfaix","1","hl128-64_bs64_lr0.001_optadam"
"1","9","0","cfldfaix","0","hl128-64_bs64_lr0.001_optadam"
"2","0","0","cfldfaix","25","hl128-64_bs64_lr0.001_optadam"
"2","1","0","cfldfaix","1","hl128-64_bs64_lr0.001_optadam"
"2","2","0","cfldfaix","758","hl128-64_bs64_lr0.001_optadam"
"2","3","0","cfldfaix","12","hl128-64_bs64_lr0.001_optadam"
"2","4","0","cfldfaix","171","hl128-64_bs64_lr0.001_optadam"
"2","5","0","cfldfaix","1","hl128-64_bs64_lr0.001_optadam"
"2","6","0","cfldfaix","21","hl128-64_bs64_lr0.001_optadam"
"2","7","0","cfldfaix","0","hl128-64_bs64_lr0.001_optadam"
"2","8","0","cfldfaix","11","hl128-64_bs64_lr0.001_optadam"
"2","9","0","cfldfaix","0","hl128-64_bs64_lr0.001_optadam"
"3","0","0","cfldfaix","46","hl128-64_bs64_lr0.001_optadam"
"3","1","0","cfldfaix","25","hl128-64_bs64_lr0.001_optadam"
"3","2","0","cfldfaix","18","hl128-64_bs64_lr0.001_optadam"
"3","3","0","cfldfaix","856","hl128-64_bs64_lr0.001_optadam"
"3","4","0","cfldfaix","34","hl128-64_bs64_lr0.001_optadam"
"3","5","0","cfldfaix","1","hl128-64_bs64_lr0.001_optadam"
"3","6","0","cfldfaix","15","hl128-64_bs64_lr0.001_optadam"
"3","7","0","cfldfaix","0","hl128-64_bs64_lr0.001_optadam"
"3","8","0","cfldfaix","5","hl128-64_bs64_lr0.001_optadam"
"3","9","0","cfldfaix","0","hl128-64_bs64_lr0.001_optadam"
"4","0","0","cfldfaix","0","hl128-64_bs64_lr0.001_optadam"
"4","1","0","cfldfaix","5","hl128-64_bs64_lr0.001_optadam"
"4","2","0","cfldfaix","92","hl128-64_bs64_lr0.001_optadam"
"4","3","0","cfldfaix","40","hl128-64_bs64_lr0.001_optadam"
"4","4","0","cfldfaix","820","hl128-64_bs64_lr0.001_optadam"
"4","5","0","cfldfaix","1","hl128-64_bs64_lr0.001_optadam"
