"Step","hl256-256-128-64_bs64_lr0.001_optadam - val_accuracy","hl256-256-128-64_bs64_lr0.001_optadam - val_accuracy__MIN","hl256-256-128-64_bs64_lr0.001_optadam - val_accuracy__MAX","hl256-128-64_bs64_lr0.001_optadam - val_accuracy","hl256-128-64_bs64_lr0.001_optadam - val_accuracy__MIN","hl256-128-64_bs64_lr0.001_optadam - val_accuracy__MAX","hl128-64_bs64_lr0.001_optadam - val_accuracy","hl128-64_bs64_lr0.001_optadam - val_accuracy__MIN","hl128-64_bs64_lr0.001_optadam - val_accuracy__MAX","hl128_bs64_lr0.001_optadam - val_accuracy","hl128_bs64_lr0.001_optadam - val_accuracy__MIN","hl128_bs64_lr0.001_optadam - val_accuracy__MAX"
"0","0.8001666666666667","0.8001666666666667","0.8001666666666667","0.8031666666666667","0.8031666666666667","0.8031666666666667","0.8288333333333333","0.8288333333333333","0.8288333333333333","0.8123333333333334","0.8123333333333334","0.8123333333333334"
"1","0.7868333333333334","0.7868333333333334","0.7868333333333334","0.8126666666666666","0.8126666666666666","0.8126666666666666","0.8026666666666666","0.8026666666666666","0.8026666666666666","0.8153333333333334","0.8153333333333334","0.8153333333333334"
"2","0.8136666666666666","0.8136666666666666","0.8136666666666666","0.824","0.824","0.824","0.832","0.832","0.832","0.8235","0.8235","0.8235"
"3","0.8143333333333334","0.8143333333333334","0.8143333333333334","0.825","0.825","0.825","0.832","0.832","0.832","0.8228333333333333","0.8228333333333333","0.8228333333333333"
"4","0.828","0.828","0.828","0.8238333333333333","0.8238333333333333","0.8238333333333333","0.8233333333333334","0.8233333333333334","0.8233333333333334","0.832","0.832","0.832"
"5","0.8381666666666666","0.8381666666666666","0.8381666666666666","0.8295","0.8295","0.8295","0.8205","0.8205","0.8205","0.8141666666666667","0.8141666666666667","0.8141666666666667"
"6","0.8276666666666667","0.8276666666666667","0.8276666666666667","0.8291666666666667","0.8291666666666667","0.8291666666666667","0.826","0.826","0.826","0.808","0.808","0.808"
"7","0.8383333333333334","0.8383333333333334","0.8383333333333334","0.8328333333333333","0.8328333333333333","0.8328333333333333","0.8271666666666667","0.8271666666666667","0.8271666666666667","0.8116666666666666","0.8116666666666666","0.8116666666666666"
"8","0.845","0.845","0.845","0.8261666666666667","0.8261666666666667","0.8261666666666667","0.8275","0.8275","0.8275","0.8155","0.8155","0.8155"
"9","0.8426666666666667","0.8426666666666667","0.8426666666666667","0.8303333333333334","0.8303333333333334","0.8303333333333334","0.841","0.841","0.841","0.8258333333333333","0.8258333333333333","0.8258333333333333"
"10","0.8331666666666667","0.8331666666666667","0.8331666666666667","0.826","0.826","0.826","0.8268333333333333","0.8268333333333333","0.8268333333333333","0.8273333333333334","0.8273333333333334","0.8273333333333334"
"11","0.8516666666666667","0.8516666666666667","0.8516666666666667","0.8375","0.8375","0.8375","0.8316666666666667","0.8316666666666667","0.8316666666666667","0.8268333333333333","0.8268333333333333","0.8268333333333333"
"12","0.8438333333333333","0.8438333333333333","0.8438333333333333","0.8373333333333334","0.8373333333333334","0.8373333333333334","0.831","0.831","0.831","0.7835","0.7835","0.7835"
"13","0.8248333333333333","0.8248333333333333","0.8248333333333333","0.8286666666666667","0.8286666666666667","0.8286666666666667","0.8381666666666666","0.8381666666666666","0.8381666666666666","0.8133333333333334","0.8133333333333334","0.8133333333333334"
"14","0.8411666666666666","0.8411666666666666","0.8411666666666666","0.8418333333333333","0.8418333333333333","0.8418333333333333","0.8365","0.8365","0.8365","0.8323333333333334","0.8323333333333334","0.8323333333333334"
"15","0.8405","0.8405","0.8405","0.8416666666666667","0.8416666666666667","0.8416666666666667","0.8361666666666666","0.8361666666666666","0.8361666666666666","0.8303333333333334","0.8303333333333334","0.8303333333333334"
"16","0.8518333333333333","0.8518333333333333","0.8518333333333333","0.8305","0.8305","0.8305","0.8201666666666667","0.8201666666666667","0.8201666666666667","0.8306666666666667","0.8306666666666667","0.8306666666666667"
"17","0.848","0.848","0.848","0.839","0.839","0.839","0.8276666666666667","0.8276666666666667","0.8276666666666667","0.831","0.831","0.831"
"18","0.841","0.841","0.841","0.8415","0.8415","0.8415","0.8346666666666667","0.8346666666666667","0.8346666666666667","0.831","0.831","0.831"
"19","0.841","0.841","0.841","0.8325","0.8325","0.8325","0.8235","0.8235","0.8235","0.8286666666666667","0.8286666666666667","0.8286666666666667"
