"Actual","Predicted","_defaultColorIndex","id","nPredictions","name"
"0","0","3","5iu42z45","821","hl256-256-128-64_bs64_lr0.001_optadam"
"0","1","3","5iu42z45","1","hl256-256-128-64_bs64_lr0.001_optadam"
"0","2","3","5iu42z45","9","hl256-256-128-64_bs64_lr0.001_optadam"
"0","3","3","5iu42z45","55","hl256-256-128-64_bs64_lr0.001_optadam"
"0","4","3","5iu42z45","1","hl256-256-128-64_bs64_lr0.001_optadam"
"0","5","3","5iu42z45","0","hl256-256-128-64_bs64_lr0.001_optadam"
"0","6","3","5iu42z45","90","hl256-256-128-64_bs64_lr0.001_optadam"
"0","7","3","5iu42z45","0","hl256-256-128-64_bs64_lr0.001_optadam"
"0","8","3","5iu42z45","23","hl256-256-128-64_bs64_lr0.001_optadam"
"0","9","3","5iu42z45","0","hl256-256-128-64_bs64_lr0.001_optadam"
"1","0","3","5iu42z45","5","hl256-256-128-64_bs64_lr0.001_optadam"
"1","1","3","5iu42z45","935","hl256-256-128-64_bs64_lr0.001_optadam"
"1","2","3","5iu42z45","13","hl256-256-128-64_bs64_lr0.001_optadam"
"1","3","3","5iu42z45","42","hl256-256-128-64_bs64_lr0.001_optadam"
"1","4","3","5iu42z45","2","hl256-256-128-64_bs64_lr0.001_optadam"
"1","5","3","5iu42z45","0","hl256-256-128-64_bs64_lr0.001_optadam"
"1","6","3","5iu42z45","1","hl256-256-128-64_bs64_lr0.001_optadam"
"1","7","3","5iu42z45","0","hl256-256-128-64_bs64_lr0.001_optadam"
"1","8","3","5iu42z45","2","hl256-256-128-64_bs64_lr0.001_optadam"
"1","9","3","5iu42z45","0","hl256-256-128-64_bs64_lr0.001_optadam"
"2","0","3","5iu42z45","23","hl256-256-128-64_bs64_lr0.001_optadam"
"2","1","3","5iu42z45","1","hl256-256-128-64_bs64_lr0.001_optadam"
"2","2","3","5iu42z45","678","hl256-256-128-64_bs64_lr0.001_optadam"
"2","3","3","5iu42z45","16","hl256-256-128-64_bs64_lr0.001_optadam"
"2","4","3","5iu42z45","114","hl256-256-128-64_bs64_lr0.001_optadam"
"2","5","3","5iu42z45","0","hl256-256-128-64_bs64_lr0.001_optadam"
"2","6","3","5iu42z45","156","hl256-256-128-64_bs64_lr0.001_optadam"
"2","7","3","5iu42z45","0","hl256-256-128-64_bs64_lr0.001_optadam"
"2","8","3","5iu42z45","12","hl256-256-128-64_bs64_lr0.001_optadam"
"2","9","3","5iu42z45","0","hl256-256-128-64_bs64_lr0.001_optadam"
"3","0","3","5iu42z45","29","hl256-256-128-64_bs64_lr0.001_optadam"
"3","1","3","5iu42z45","10","hl256-256-128-64_bs64_lr0.001_optadam"
"3","2","3","5iu42z45","2","hl256-256-128-64_bs64_lr0.001_optadam"
"3","3","3","5iu42z45","886","hl256-256-128-64_bs64_lr0.001_optadam"
"3","4","3","5iu42z45","23","hl256-256-128-64_bs64_lr0.001_optadam"
"3","5","3","5iu42z45","0","hl256-256-128-64_bs64_lr0.001_optadam"
