"Step","hl128-64_bs64_lr0.001_optnadam - val_accuracy","hl128-64_bs64_lr0.001_optnadam - val_accuracy__MIN","hl128-64_bs64_lr0.001_optnadam - val_accuracy__MAX","hl128-64_bs64_lr0.001_optadam - val_accuracy","hl128-64_bs64_lr0.001_optadam - val_accuracy__MIN","hl128-64_bs64_lr0.001_optadam - val_accuracy__MAX","hl128-64_bs64_lr0.001_optrmsprop - val_accuracy","hl128-64_bs64_lr0.001_optrmsprop - val_accuracy__MIN","hl128-64_bs64_lr0.001_optrmsprop - val_accuracy__MAX","hl128-64_bs64_lr0.001_optnesterov - val_accuracy","hl128-64_bs64_lr0.001_optnesterov - val_accuracy__MIN","hl128-64_bs64_lr0.001_optnesterov - val_accuracy__MAX","hl128-64_bs64_lr0.001_optmomentum - val_accuracy","hl128-64_bs64_lr0.001_optmomentum - val_accuracy__MIN","hl128-64_bs64_lr0.001_optmomentum - val_accuracy__MAX","hl128-64_bs64_lr0.001_optsgd - val_accuracy","hl128-64_bs64_lr0.001_optsgd - val_accuracy__MIN","hl128-64_bs64_lr0.001_optsgd - val_accuracy__MAX"
"0","0.8256666666666667","0.8256666666666667","0.8256666666666667","0.8268333333333333","0.8268333333333333","0.8268333333333333","0.7575","0.7575","0.7575","0.3295","0.3295","0.3295","0.2345","0.2345","0.2345","0.11366666666666667","0.11366666666666667","0.11366666666666667"
"1","0.8213333333333334","0.8213333333333334","0.8213333333333334","0.8101666666666667","0.8101666666666667","0.8101666666666667","0.8153333333333334","0.8153333333333334","0.8153333333333334","0.4635","0.4635","0.4635","0.467","0.467","0.467","0.13116666666666665","0.13116666666666665","0.13116666666666665"
"2","0.8261666666666667","0.8261666666666667","0.8261666666666667","0.8148333333333333","0.8148333333333333","0.8148333333333333","0.804","0.804","0.804","0.5155","0.5155","0.5155","0.5453333333333333","0.5453333333333333","0.5453333333333333","0.15083333333333335","0.15083333333333335","0.15083333333333335"
"3","0.823","0.823","0.823","0.8256666666666667","0.8256666666666667","0.8256666666666667","0.7948333333333333","0.7948333333333333","0.7948333333333333","0.5463333333333333","0.5463333333333333","0.5463333333333333","0.586","0.586","0.586","0.167","0.167","0.167"
"4","0.8258333333333333","0.8258333333333333","0.8258333333333333","0.8301666666666667","0.8301666666666667","0.8301666666666667","0.7283333333333334","0.7283333333333334","0.7283333333333334","0.5745","0.5745","0.5745","0.6065","0.6065","0.6065","0.18283333333333332","0.18283333333333332","0.18283333333333332"
"5","0.826","0.826","0.826","0.8336666666666667","0.8336666666666667","0.8336666666666667","0.8206666666666667","0.8206666666666667","0.8206666666666667","0.6008333333333333","0.6008333333333333","0.6008333333333333","0.6206666666666667","0.6206666666666667","0.6206666666666667","0.19666666666666666","0.19666666666666666","0.19666666666666666"
"6","0.842","0.842","0.842","0.8343333333333334","0.8343333333333334","0.8343333333333334","0.7928333333333333","0.7928333333333333","0.7928333333333333","0.6211666666666666","0.6211666666666666","0.6211666666666666","0.6345","0.6345","0.6345","0.21233333333333335","0.21233333333333335","0.21233333333333335"
"7","0.8238333333333333","0.8238333333333333","0.8238333333333333","0.826","0.826","0.826","0.7688333333333334","0.7688333333333334","0.7688333333333334","0.637","0.637","0.637","0.6416666666666667","0.6416666666666667","0.6416666666666667","0.22283333333333333","0.22283333333333333","0.22283333333333333"
"8","0.8391666666666666","0.8391666666666666","0.8391666666666666","0.8395","0.8395","0.8395","0.7855","0.7855","0.7855","0.647","0.647","0.647","0.6483333333333333","0.6483333333333333","0.6483333333333333","0.234","0.234","0.234"
"9","0.8326666666666667","0.8326666666666667","0.8326666666666667","0.8391666666666666","0.8391666666666666","0.8391666666666666","0.7978333333333333","0.7978333333333333","0.7978333333333333","0.6523333333333333","0.6523333333333333","0.6523333333333333","0.6548333333333334","0.6548333333333334","0.6548333333333334","0.247","0.247","0.247"
