"Step","hl128-64_bs64_lr0.001_optnadam - train_loss","hl128-64_bs64_lr0.001_optnadam - train_loss__MIN","hl128-64_bs64_lr0.001_optnadam - train_loss__MAX","hl128-64_bs64_lr0.001_optadam - train_loss","hl128-64_bs64_lr0.001_optadam - train_loss__MIN","hl128-64_bs64_lr0.001_optadam - train_loss__MAX","hl128-64_bs64_lr0.001_optrmsprop - train_loss","hl128-64_bs64_lr0.001_optrmsprop - train_loss__MIN","hl128-64_bs64_lr0.001_optrmsprop - train_loss__MAX","hl128-64_bs64_lr0.001_optnesterov - train_loss","hl128-64_bs64_lr0.001_optnesterov - train_loss__MIN","hl128-64_bs64_lr0.001_optnesterov - train_loss__MAX","hl128-64_bs64_lr0.001_optmomentum - train_loss","hl128-64_bs64_lr0.001_optmomentum - train_loss__MIN","hl128-64_bs64_lr0.001_optmomentum - train_loss__MAX","hl128-64_bs64_lr0.001_optsgd - train_loss","hl128-64_bs64_lr0.001_optsgd - train_loss__MIN","hl128-64_bs64_lr0.001_optsgd - train_loss__MAX"
"0","0.5937106008287368","0.5937106008287368","0.5937106008287368","0.6156529240239222","0.6156529240239222","0.6156529240239222","0.6461279712328839","0.6461279712328839","0.6461279712328839","2.285676250860473","2.285676250860473","2.285676250860473","2.2549199013279067","2.2549199013279067","2.2549199013279067","2.357224096474597","2.357224096474597","2.357224096474597"
"1","0.5156556965092691","0.5156556965092691","0.5156556965092691","0.5342479923024318","0.5342479923024318","0.5342479923024318","0.5594606375946833","0.5594606375946833","0.5594606375946833","2.064809880410783","2.064809880410783","2.064809880410783","2.006388875201146","2.006388875201146","2.006388875201146","2.3117547450372835","2.3117547450372835","2.3117547450372835"
"2","0.5090942525033479","0.5090942525033479","0.5090942525033479","0.5307819847842558","0.5307819847842558","0.5307819847842558","0.5455991642754129","0.5455991642754129","0.5455991642754129","1.8971957899878933","1.8971957899878933","1.8971957899878933","1.8245745400873346","1.8245745400873346","1.8245745400873346","2.2729578793496614","2.2729578793496614","2.2729578793496614"
"3","0.5071847482592216","0.5071847482592216","0.5071847482592216","0.5235662298431918","0.5235662298431918","0.5235662298431918","0.5354655044703378","0.5354655044703378","0.5354655044703378","1.7556595555765229","1.7556595555765229","1.7556595555765229","1.6663716979433927","1.6663716979433927","1.6663716979433927","2.239092835644902","2.239092835644902","2.239092835644902"
"4","0.5033367613284151","0.5033367613284151","0.5033367613284151","0.5170584831552535","0.5170584831552535","0.5170584831552535","0.5278898217699772","0.5278898217699772","0.5278898217699772","1.632364118507775","1.632364118507775","1.632364118507775","1.533107577716136","1.533107577716136","1.533107577716136","2.2088665078848044","2.2088665078848044","2.2088665078848044"
"5","0.4993331080785835","0.4993331080785835","0.4993331080785835","0.5139398614935827","0.5139398614935827","0.5139398614935827","0.5213943914887004","0.5213943914887004","0.5213943914887004","1.5212638772624907","1.5212638772624907","1.5212638772624907","1.4234275810297603","1.4234275810297603","1.4234275810297603","2.181355238134865","2.181355238134865","2.181355238134865"
"6","0.49594996807625796","0.49594996807625796","0.49594996807625796","0.5083348615120231","0.5083348615120231","0.5083348615120231","0.519558822352524","0.519558822352524","0.519558822352524","1.4231259826182323","1.4231259826182323","1.4231259826182323","1.3310773062258057","1.3310773062258057","1.3310773062258057","2.155899685942532","2.155899685942532","2.155899685942532"
"7","0.49415223520121254","0.49415223520121254","0.49415223520121254","0.5041600714690523","0.5041600714690523","0.5041600714690523","0.514887646788179","0.514887646788179","0.514887646788179","1.3393538711404553","1.3393538711404553","1.3393538711404553","1.2535086419370878","1.2535086419370878","1.2535086419370878","2.1320202707295097","2.1320202707295097","2.1320202707295097"
"8","0.4924330793550629","0.4924330793550629","0.4924330793550629","0.5028848123973555","0.5028848123973555","0.5028848123973555","0.5118653066313911","0.5118653066313911","0.5118653066313911","1.2687300020899952","1.2687300020899952","1.2687300020899952","1.1901493577121636","1.1901493577121636","1.1901493577121636","2.109334588711276","2.109334588711276","2.109334588711276"
"9","0.4905960228202901","0.4905960228202901","0.4905960228202901","0.4976214930578837","0.4976214930578837","0.4976214930578837","0.5105245540118194","0.5105245540118194","0.5105245540118194","1.2091270644530636","1.2091270644530636","1.2091270644530636","1.1383939117988544","1.1383939117988544","1.1383939117988544","2.087689781349862","2.087689781349862","2.087689781349862"
"10","0.4873102553701004","0.4873102553701004","0.4873102553701004","0.4960737601177149","0.4960737601177149","0.4960737601177149","0.507857447227044","0.507857447227044","0.507857447227044","1.158378374950647","1.158378374950647","1.158378374950647","1.0951866260273162","1.0951866260273162","1.0951866260273162","2.0668409606891887","2.0668409606891887","2.0668409606891887"
"11","0.48628704747361673","0.48628704747361673","0.48628704747361673","0.49454639386952215","0.49454639386952215","0.49454639386952215","0.5079390542750373","0.5079390542750373","0.5079390542750373","1.1148584063007614","1.1148584063007614","1.1148584063007614","1.0585193729864146","1.0585193729864146","1.0585193729864146","2.046625454631733","2.046625454631733","2.046625454631733"
"12","0.4843555398352978","0.4843555398352978","0.4843555398352978","0.49168672911113087","0.49168672911113087","0.49168672911113087","0.5051538765568335","0.5051538765568335","0.5051538765568335","1.0770363412583175","1.0770363412583175","1.0770363412583175","1.0272614190699738","1.0272614190699738","1.0272614190699738","2.0270752091018944","2.0270752091018944","2.0270752091018944"
"13","0.48355080469592326","0.48355080469592326","0.48355080469592326","0.48978324546999746","0.48978324546999746","0.48978324546999746","0.5043322796675749","0.5043322796675749","0.5043322796675749","1.0438657421483688","1.0438657421483688","1.0438657421483688","0.9999971775638842","0.9999971775638842","0.9999971775638842","2.008039749830305","2.008039749830305","2.008039749830305"
