"Step","hl128-64_bs64_lr0.001_optnadam - train_accuracy","hl128-64_bs64_lr0.001_optnadam - train_accuracy__MIN","hl128-64_bs64_lr0.001_optnadam - train_accuracy__MAX","hl128-64_bs64_lr0.001_optadam - train_accuracy","hl128-64_bs64_lr0.001_optadam - train_accuracy__MIN","hl128-64_bs64_lr0.001_optadam - train_accuracy__MAX","hl128-64_bs64_lr0.001_optrmsprop - train_accuracy","hl128-64_bs64_lr0.001_optrmsprop - train_accuracy__MIN","hl128-64_bs64_lr0.001_optrmsprop - train_accuracy__MAX","hl128-64_bs64_lr0.001_optnesterov - train_accuracy","hl128-64_bs64_lr0.001_optnesterov - train_accuracy__MIN","hl128-64_bs64_lr0.001_optnesterov - train_accuracy__MAX","hl128-64_bs64_lr0.001_optmomentum - train_accuracy","hl128-64_bs64_lr0.001_optmomentum - train_accuracy__MIN","hl128-64_bs64_lr0.001_optmomentum - train_accuracy__MAX","hl128-64_bs64_lr0.001_optsgd - train_accuracy","hl128-64_bs64_lr0.001_optsgd - train_accuracy__MIN","hl128-64_bs64_lr0.001_optsgd - train_accuracy__MAX"
"0","0.8051564968404424","0.8051564968404424","0.8051564968404424","0.7949311315165877","0.7949311315165877","0.7949311315165877","0.7789790679304898","0.7789790679304898","0.7789790679304898","0.23054897314375988","0.23054897314375988","0.23054897314375988","0.12783866508688782","0.12783866508688782","0.12783866508688782","0.10953544628751975","0.10953544628751975","0.10953544628751975"
"1","0.827551095971564","0.827551095971564","0.827551095971564","0.8180292259083728","0.8180292259083728","0.8180292259083728","0.8058846761453397","0.8058846761453397","0.8058846761453397","0.4111682958135861","0.4111682958135861","0.4111682958135861","0.3670085406793049","0.3670085406793049","0.3670085406793049","0.12478401461295419","0.12478401461295419","0.12478401461295419"
"2","0.8284273795418642","0.8284273795418642","0.8284273795418642","0.8184797097156398","0.8184797097156398","0.8184797097156398","0.8113953890205372","0.8113953890205372","0.8113953890205372","0.49860535150078994","0.49860535150078994","0.49860535150078994","0.5116385268562401","0.5116385268562401","0.5116385268562401","0.14264909162717218","0.14264909162717218","0.14264909162717218"
"3","0.8278781595576619","0.8278781595576619","0.8278781595576619","0.820256960900474","0.820256960900474","0.820256960900474","0.8139687006319116","0.8139687006319116","0.8139687006319116","0.5368100809636651","0.5368100809636651","0.5368100809636651","0.5694423874407583","0.5694423874407583","0.5694423874407583","0.16131640007898893","0.16131640007898893","0.16131640007898893"
"4","0.8295073064770931","0.8295073064770931","0.8295073064770931","0.8226636552132701","0.8226636552132701","0.8226636552132701","0.8180107128751974","0.8180107128751974","0.8180107128751974","0.5629319707740916","0.5629319707740916","0.5629319707740916","0.5987114928909952","0.5987114928909952","0.5987114928909952","0.18019352290679305","0.18019352290679305","0.18019352290679305"
"5","0.8301614336492891","0.8301614336492891","0.8301614336492891","0.8246754048183254","0.8246754048183254","0.8246754048183254","0.8205531694312796","0.8205531694312796","0.8205531694312796","0.5891587677725119","0.5891587677725119","0.5891587677725119","0.6164593206951027","0.6164593206951027","0.6164593206951027","0.1970280410742496","0.1970280410742496","0.1970280410742496"
"6","0.8319942239336493","0.8319942239336493","0.8319942239336493","0.8251505726698263","0.8251505726698263","0.8251505726698263","0.8204667752764614","0.8204667752764614","0.8204667752764614","0.6156200631911533","0.6156200631911533","0.6156200631911533","0.6304428317535545","0.6304428317535545","0.6304428317535545","0.21368359992101107","0.21368359992101107","0.21368359992101107"
"7","0.8317967515797788","0.8317967515797788","0.8317967515797788","0.8281064869668247","0.8281064869668247","0.8281064869668247","0.8230462578988941","0.8230462578988941","0.8230462578988941","0.6323928712480253","0.6323928712480253","0.6323928712480253","0.6413099822274881","0.6413099822274881","0.6413099822274881","0.22827187006319116","0.22827187006319116","0.22827187006319116"
"8","0.8333580173775671","0.8333580173775671","0.8333580173775671","0.8270142180094787","0.8270142180094787","0.8270142180094787","0.8226266291469194","0.8226266291469194","0.8226266291469194","0.645173035150079","0.645173035150079","0.645173035150079","0.6499308846761453","0.6499308846761453","0.6499308846761453","0.24282928515007898","0.24282928515007898","0.24282928515007898"
"9","0.8341108807266983","0.8341108807266983","0.8341108807266983","0.8291185327804107","0.8291185327804107","0.8291185327804107","0.8239410545023697","0.8239410545023697","0.8239410545023697","0.6539543838862559","0.6539543838862559","0.6539543838862559","0.655935278436019","0.655935278436019","0.655935278436019","0.2572324249605055","0.2572324249605055","0.2572324249605055"
