"Actual","Predicted","_defaultColorIndex","id","nPredictions","name"
"0","0","5","hm1hiqno","875","hl128-64_bs64_lr0.001_optnadam"
"0","1","5","hm1hiqno","3","hl128-64_bs64_lr0.001_optnadam"
"0","2","5","hm1hiqno","12","hl128-64_bs64_lr0.001_optnadam"
"0","3","5","hm1hiqno","27","hl128-64_bs64_lr0.001_optnadam"
"0","4","5","hm1hiqno","0","hl128-64_bs64_lr0.001_optnadam"
"0","5","5","hm1hiqno","6","hl128-64_bs64_lr0.001_optnadam"
"0","6","5","hm1hiqno","60","hl128-64_bs64_lr0.001_optnadam"
"0","7","5","hm1hiqno","0","hl128-64_bs64_lr0.001_optnadam"
"0","8","5","hm1hiqno","16","hl128-64_bs64_lr0.001_optnadam"
"0","9","5","hm1hiqno","1","hl128-64_bs64_lr0.001_optnadam"
"1","0","5","hm1hiqno","11","hl128-64_bs64_lr0.001_optnadam"
"1","1","5","hm1hiqno","946","hl128-64_bs64_lr0.001_optnadam"
"1","2","5","hm1hiqno","11","hl128-64_bs64_lr0.001_optnadam"
"1","3","5","hm1hiqno","26","hl128-64_bs64_lr0.001_optnadam"
"1","4","5","hm1hiqno","3","hl128-64_bs64_lr0.001_optnadam"
"1","5","5","hm1hiqno","0","hl128-64_bs64_lr0.001_optnadam"
"1","6","5","hm1hiqno","1","hl128-64_bs64_lr0.001_optnadam"
"1","7","5","hm1hiqno","0","hl128-64_bs64_lr0.001_optnadam"
"1","8","5","hm1hiqno","2","hl128-64_bs64_lr0.001_optnadam"
"1","9","5","hm1hiqno","0","hl128-64_bs64_lr0.001_optnadam"
"2","0","5","hm1hiqno","27","hl128-64_bs64_lr0.001_optnadam"
"2","1","5","hm1hiqno","2","hl128-64_bs64_lr0.001_optnadam"
"2","2","5","hm1hiqno","832","hl128-64_bs64_lr0.001_optnadam"
"2","3","5","hm1hiqno","7","hl128-64_bs64_lr0.001_optnadam"
"2","4","5","hm1hiqno","66","hl128-64_bs64_lr0.001_optnadam"
"2","5","5","hm1hiqno","2","hl128-64_bs64_lr0.001_optnadam"
"2","6","5","hm1hiqno","50","hl128-64_bs64_lr0.001_optnadam"
"2","7","5","hm1hiqno","0","hl128-64_bs64_lr0.001_optnadam"
"2","8","5","hm1hiqno","14","hl128-64_bs64_lr0.001_optnadam"
"2","9","5","hm1hiqno","0","hl128-64_bs64_lr0.001_optnadam"
"3","0","5","hm1hiqno","71","hl128-64_bs64_lr0.001_optnadam"
"3","1","5","hm1hiqno","12","hl128-64_bs64_lr0.001_optnadam"
"3","2","5","hm1hiqno","19","hl128-64_bs64_lr0.001_optnadam"
"3","3","5","hm1hiqno","833","hl128-64_bs64_lr0.001_optnadam"
"3","4","5","hm1hiqno","14","hl128-64_bs64_lr0.001_optnadam"
"3","5","5","hm1hiqno","1","hl128-64_bs64_lr0.001_optnadam"
"3","6","5","hm1hiqno","43","hl128-64_bs64_lr0.001_optnadam"
"3","7","5","hm1hiqno","0","hl128-64_bs64_lr0.001_optnadam"
"3","8","5","hm1hiqno","6","hl128-64_bs64_lr0.001_optnadam"
"3","9","5","hm1hiqno","1","hl128-64_bs64_lr0.001_optnadam"
"4","0","5","hm1hiqno","0","hl128-64_bs64_lr0.001_optnadam"
"4","1","5","hm1hiqno","4","hl128-64_bs64_lr0.001_optnadam"
"4","2","5","hm1hiqno","230","hl128-64_bs64_lr0.001_optnadam"
"4","3","5","hm1hiqno","37","hl128-64_bs64_lr0.001_optnadam"
"4","4","5","hm1hiqno","620","hl128-64_bs64_lr0.001_optnadam"
"4","5","5","hm1hiqno","1","hl128-64_bs64_lr0.001_optnadam"
"4","6","5","hm1hiqno","98","hl128-64_bs64_lr0.001_optnadam"
"4","7","5","hm1hiqno","0","hl128-64_bs64_lr0.001_optnadam"
"4","8","5","hm1hiqno","10","hl128-64_bs64_lr0.001_optnadam"
"4","9","5","hm1hiqno","0","hl128-64_bs64_lr0.001_optnadam"
"5","0","5","hm1hiqno","0","hl128-64_bs64_lr0.001_optnadam"
"5","1","5","hm1hiqno","0","hl128-64_bs64_lr0.001_optnadam"
"5","2","5","hm1hiqno","0","hl128-64_bs64_lr0.001_optnadam"
"5","3","5","hm1hiqno","1","hl128-64_bs64_lr0.001_optnadam"
"5","4","5","hm1hiqno","0","hl128-64_bs64_lr0.001_optnadam"
"5","5","5","hm1hiqno","911","hl128-64_bs64_lr0.001_optnadam"
"5","6","5","hm1hiqno","0","hl128-64_bs64_lr0.001_optnadam"
"5","7","5","hm1hiqno","47","hl128-64_bs64_lr0.001_optnadam"
"5","8","5","hm1hiqno","2","hl128-64_bs64_lr0.001_optnadam"
"5","9","5","hm1hiqno","39","hl128-64_bs64_lr0.001_optnadam"
"6","0","5","hm1hiqno","228","hl128-64_bs64_lr0.001_optnadam"
"6","1","5","hm1hiqno","1","hl128-64_bs64_lr0.001_optnadam"
"6","2","5","hm1hiqno","158","hl128-64_bs64_lr0.001_optnadam"
"6","3","5","hm1hiqno","19","hl128-64_bs64_lr0.001_optnadam"
"6","4","5","hm1hiqno","61","hl128-64_bs64_lr0.001_optnadam"
"6","5","5","hm1hiqno","6","hl128-64_bs64_lr0.001_optnadam"
"6","6","5","hm1hiqno","489","hl128-64_bs64_lr0.001_optnadam"
"6","7","5","hm1hiqno","0","hl128-64_bs64_lr0.001_optnadam"
"6","8","5","hm1hiqno","38","hl128-64_bs64_lr0.001_optnadam"
"6","9","5","hm1hiqno","0","hl128-64_bs64_lr0.001_optnadam"
"7","0","5","hm1hiqno","0","hl128-64_bs64_lr0.001_optnadam"
"7","1","5","hm1hiqno","0","hl128-64_bs64_lr0.001_optnadam"
"7","2","5","hm1hiqno","0","hl128-64_bs64_lr0.001_optnadam"
"7","3","5","hm1hiqno","0","hl128-64_bs64_lr0.001_optnadam"
"7","4","5","hm1hiqno","0","hl128-64_bs64_lr0.001_optnadam"
"7","5","5","hm1hiqno","49","hl128-64_bs64_lr0.001_optnadam"
"7","6","5","hm1hiqno","0","hl128-64_bs64_lr0.001_optnadam"
"7","7","5","hm1hiqno","864","hl128-64_bs64_lr0.001_optnadam"
"7","8","5","hm1hiqno","0","hl128-64_bs64_lr0.001_optnadam"
"7","9","5","hm1hiqno","87","hl128-64_bs64_lr0.001_optnadam"
"8","0","5","hm1hiqno","5","hl128-64_bs64_lr0.001_optnadam"
"8","1","5","hm1hiqno","1","hl128-64_bs64_lr0.001_optnadam"
"8","2","5","hm1hiqno","12","hl128-64_bs64_lr0.001_optnadam"
"8","3","5","hm1hiqno","11","hl128-64_bs64_lr0.001_optnadam"
"8","4","5","hm1hiqno","2","hl128-64_bs64_lr0.001_optnadam"
"8","5","5","hm1hiqno","13","hl128-64_bs64_lr0.001_optnadam"
"8","6","5","hm1hiqno","7","hl128-64_bs64_lr0.001_optnadam"
"8","7","5","hm1hiqno","3","hl128-64_bs64_lr0.001_optnadam"
"8","8","5","hm1hiqno","944","hl128-64_bs64_lr0.001_optnadam"
"8","9","5","hm1hiqno","2","hl128-64_bs64_lr0.001_optnadam"
"9","0","5","hm1hiqno","0","hl128-64_bs64_lr0.001_optnadam"
"9","1","5","hm1hiqno","0","hl128-64_bs64_lr0.001_optnadam"
"9","2","5","hm1hiqno","0","hl128-64_bs64_lr0.001_optnadam"
"9","3","5","hm1hiqno","0","hl128-64_bs64_lr0.001_optnadam"
"9","4","5","hm1hiqno","0","hl128-64_bs64_lr0.001_optnadam"
"9","5","5","hm1hiqno","22","hl128-64_bs64_lr0.001_optnadam"
"9","6","5","hm1hiqno","0","hl128-64_bs64_lr0.001_optnadam"
"9","7","5","hm1hiqno","32","hl128-64_bs64_lr0.001_optnadam"
"9","8","5","hm1hiqno","1","hl128-64_bs64_lr0.001_optnadam"
"9","9","5","hm1hiqno","945","hl128-64_bs64_lr0.001_optnadam"
"0","0","4","pez1bmxb","805","hl128-64_bs64_lr0.001_optadam"
"0","1","4","pez1bmxb","6","hl128-64_bs64_lr0.001_optadam"
"0","2","4","pez1bmxb","6","hl128-64_bs64_lr0.001_optadam"
"0","3","4","pez1bmxb","72","hl128-64_bs64_lr0.001_optadam"
"0","4","4","pez1bmxb","5","hl128-64_bs64_lr0.001_optadam"
"0","5","4","pez1bmxb","6","hl128-64_bs64_lr0.001_optadam"
"0","6","4","pez1bmxb","85","hl128-64_bs64_lr0.001_optadam"
"0","7","4","pez1bmxb","0","hl128-64_bs64_lr0.001_optadam"
"0","8","4","pez1bmxb","14","hl128-64_bs64_lr0.001_optadam"
"0","9","4","pez1bmxb","1","hl128-64_bs64_lr0.001_optadam"
"1","0","4","pez1bmxb","3","hl128-64_bs64_lr0.001_optadam"
"1","1","4","pez1bmxb","937","hl128-64_bs64_lr0.001_optadam"
"1","2","4","pez1bmxb","11","hl128-64_bs64_lr0.001_optadam"
"1","3","4","pez1bmxb","40","hl128-64_bs64_lr0.001_optadam"
"1","4","4","pez1bmxb","6","hl128-64_bs64_lr0.001_optadam"
"1","5","4","pez1bmxb","0","hl128-64_bs64_lr0.001_optadam"
"1","6","4","pez1bmxb","1","hl128-64_bs64_lr0.001_optadam"
"1","7","4","pez1bmxb","0","hl128-64_bs64_lr0.001_optadam"
"1","8","4","pez1bmxb","2","hl128-64_bs64_lr0.001_optadam"
"1","9","4","pez1bmxb","0","hl128-64_bs64_lr0.001_optadam"
"2","0","4","pez1bmxb","22","hl128-64_bs64_lr0.001_optadam"
"2","1","4","pez1bmxb","3","hl128-64_bs64_lr0.001_optadam"
"2","2","4","pez1bmxb","631","hl128-64_bs64_lr0.001_optadam"
"2","3","4","pez1bmxb","17","hl128-64_bs64_lr0.001_optadam"
"2","4","4","pez1bmxb","174","hl128-64_bs64_lr0.001_optadam"
"2","5","4","pez1bmxb","2","hl128-64_bs64_lr0.001_optadam"
"2","6","4","pez1bmxb","137","hl128-64_bs64_lr0.001_optadam"
"2","7","4","pez1bmxb","0","hl128-64_bs64_lr0.001_optadam"
"2","8","4","pez1bmxb","14","hl128-64_bs64_lr0.001_optadam"
