"Step","hl256-128-64_bs64_lr0.001_optadam - val_accuracy","hl256-128-64_bs64_lr0.001_optadam - val_accuracy__MIN","hl256-128-64_bs64_lr0.001_optadam - val_accuracy__MAX"
"0","0.6378333333333334","0.092","0.853"
"1","0.6593666666666667","0.10216666666666667","0.8801666666666667"
"2","0.6440666666666667","0.092","0.8765"
"3","0.6673333333333333","0.10083333333333333","0.8826666666666667"
"4","0.6654333333333333","0.09966666666666667","0.8888333333333334"
"5","0.6700333333333333","0.0985","0.8855"
"6","0.6634333333333333","0.09716666666666667","0.8836666666666667"
"7","0.669","0.0985","0.8896666666666667"
"8","0.6624666666666668","0.09716666666666667","0.895"
"9","0.6685","0.092","0.8923333333333333"
"10","0.6718333333333334","0.10083333333333333","0.8896666666666667"
"11","0.668","0.092","0.89"
"12","0.6687333333333333","0.09816666666666667","0.8868333333333334"
"13","0.6712333333333332","0.10083333333333333","0.8963333333333333"
"14","0.6704333333333333","0.092","0.8975"
"15","0.6703666666666667","0.092","0.889"
"16","0.6706000000000001","0.09966666666666667","0.8985"
"17","0.6665","0.092","0.8918333333333334"
"18","0.6713333333333333","0.092","0.8876666666666667"
"19","0.6708000000000001","0.10366666666666667","0.8868333333333334"
