"Step","hl256-128-64_bs64_lr0.001_optadam - train_accuracy","hl256-128-64_bs64_lr0.001_optadam - train_accuracy__MIN","hl256-128-64_bs64_lr0.001_optadam - train_accuracy__MAX"
"0","0.6460925157977884","0.17579976303317535","0.8217256615323855"
"1","0.6480302132701421","0.09866212480252765","0.8643118088467614"
"2","0.6567671307266982","0.09905706951026856","0.8769562105055292"
"3","0.6624049664296999","0.09875468996840442","0.8872988250394945"
"4","0.6670233511058452","0.09954457938388625","0.8937105055292258"
"5","0.6681378357030014","0.09824249605055292","0.8986905114533965"
"6","0.670412470379147","0.09848933649289099","0.9009491015007899"
"7","0.6725747926540284","0.09812524684044233","0.905676095971564"
"8","0.673680637835703","0.09795245853080568","0.9091010071090048"
"9","0.6755640304107425","0.09974205173775672","0.9122852488151659"
"10","0.6767204778830964","0.09822398301737757","0.9161112756714059"
"11","0.6784594687993681","0.10035915284360189","0.9183204976303317"
"12","0.678958086492891","0.1001678515007899","0.9209493483412322"
"13","0.6803589060031594","0.09800182661927331","0.9247013230647709"
"14","0.680763724328594","0.09787223538704581","0.9288297294628751"
"15","0.681596810821485","0.09935327804107426","0.9294900276461295"
"16","0.6824249605055293","0.09771178909952606","0.9313104759083728"
"17","0.6829519648499212","0.09932242298578199","0.9346551639020537"
"18","0.6838479956556082","0.10011848341232228","0.9365188092417062"
"19","0.6836961887835702","0.09971119668246446","0.9366360584518167"
