"Actual","Predicted","_defaultColorIndex","id","nPredictions","name"
"0","0","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"0","1","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"0","2","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"0","3","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"0","4","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"0","5","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"0","6","4","7bieo566","1000","hl256-128-64_bs64_lr0.001_optadam"
"0","7","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"0","8","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"0","9","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"1","0","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"1","1","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"1","2","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"1","3","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"1","4","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"1","5","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"1","6","4","7bieo566","1000","hl256-128-64_bs64_lr0.001_optadam"
"1","7","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"1","8","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"1","9","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"2","0","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"2","1","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"2","2","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"2","3","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"2","4","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"2","5","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"2","6","4","7bieo566","1000","hl256-128-64_bs64_lr0.001_optadam"
"2","7","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"2","8","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"2","9","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"3","0","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"3","1","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"3","2","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"3","3","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"3","4","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"3","5","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"3","6","4","7bieo566","1000","hl256-128-64_bs64_lr0.001_optadam"
"3","7","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"3","8","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"3","9","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"4","0","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"4","1","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"4","2","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"4","3","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"4","4","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"4","5","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"4","6","4","7bieo566","1000","hl256-128-64_bs64_lr0.001_optadam"
"4","7","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"4","8","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"4","9","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"5","0","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"5","1","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"5","2","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"5","3","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"5","4","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"5","5","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
